Slug,Title,Artist,Year,Rating,Review,FavoriteTrack,Image
i-wish-you-love-more-from-the-bodyguard,I Wish You Love: More from The Bodyguard,Whitney Houston,,7,"While this doesn't have the same artistic value as an album since it is largely a movie OST, Whitney Housoton delivers one of the greatest performances of all time when she sings the song ""I Will Always Love You"". The album has other amazing songs such as Houston's cover of the fabulous Chaka Khan's ""I'm Every Woman"". She has other infectious songs like Queen of the Night, so this album has no shortage of wonderful",I Will Always Love You,
invu,INVU,TAEYEON,,,,,
imagination,Imagination,Hitomi Tohyama,,,,,
just-call-me-penny,Just Call Me Penny,Hitomi Tohyama,,,,,
kind-of-blue,Kind of Blue,Miles Davis,,10,"I find myself naturally resisting things regarded as the ""greatest"" in any category. Widely regarded as the greatest jazz album of all time, Kind of Blue holds a mythical level of hype and prestige amongst music enthusiasts. One day, I decided to sit down and listen to it from start to finish, and I realized why. Miles Davis is a magic man. In my opinion, music, in addition to all other art, is important if it can stir up emotion with you. The tecnhical talent and artistic ability to produce something so polished and honest is beyond anything I could ever hope to achieve even if I had one hundred years to try.",Freddie Freeloader,
love-heart,LOVE HEART,Rajie,,,,,
lamp-genso,Lamp Genso,Lamp,,,,,
late-registration,Late Registration,Kanye West,,,,Hey Mama,
love-deluxe,Love Deluxe,Sade,,9,,,
love-sandy,"Love, Sandy",Sandy Lam,,,,,
makuake,MAKUAKE,eill,,,,,
mint-jams-live,MINT JAMS(Live),Casiopea,,,,Tears of the Star,
motomami,MOTOMAMI,ROSALÍA,,,,,
music-sorry-4-da-wait,MUSIC - SORRY 4 DA WAIT,Playboi Carti,,,,EVIL J0RDAN,
me-deje-llevar,Me dejé llevar,Christian Nodal,,,,,
mis-primeros-exitos,Mis Primeros Éxitos,Selena,,,,Dame un Beso,
mister-magic,Mister Magic,"Grover Washington, Jr.",,,,Mister Magic,
modern-times,Modern Times,IU,,,,Havana,
nellyville,Nellyville,Nelly,,,,Dilemna,
oasis,OASIS,J Balvin,,,,COMO UN BEBE,
one-in-a-million,One In A Million,Aaliyah,,9,,The One I Gave My Heart To,
palette,PALETTE,eill,,6,,Letter,
playa-saturno,PLAYA SATURNO,Rauw Alejandro,,7,,CUKi,
pacific,Pacific,"Haruomi Hosono, Shigeru Suzuki, Tatsuro Yamashita",,9,,Nostalgia of Island,
palette-2,Palette,IU,,9,,Through the Night,
perdoname-mi-amor,Perdoname Mi Amor,Conjunto Primavera,,7,,Una Vez Mas,
playboi-carti,Playboi Carti,Playboi Carti,,6,,Location,
queendom,Queendom,Red Velvet,,8,,"Hello, Sunset",
request-30th-anniversary-edition,REQUEST (30th Anniversary Edition),Mariya Takeuchi,,8,,"OH NO, OH YES! / Eki",
reed-seed,Reed Seed,"Grover Washington, Jr.",,7,,Loran's Dance,
russian-roulette,Russian Roulette,Red Velvet,,6,,Russian Roulette / Sunny Afternoon,
saturno,SATURNO,Rauw Alejandro,,9,,Corazon Despeinado,
sunshower,SUNSHOWER,Taeko Ohnuki,,8,,Nani Mo Iranai,
savage,Savage,aespa,,5,,Lucid Dream,
scorpion,Scorpion,Drake,,7,,In My Feelings,
seychelles,Seychelles,Masayoshi Takanaka,,8,,Akogareno Seychelles Shotou,
sons-of-1997,Sons Of 1997,Satellite Lovers,,8,,Ride the Wind,
sons-of-1973,Sons of 1973,Satellite Lovers,,8,,How Much I Love You Baby,
sorry,Sorry,Mai Yamane,,7,,Sorry,
stronger-than-pride,Stronger Than Pride,Sade,,,,Clean Heart,
submarine,Submarine,The Marias,,7,,Love You Anyway,
surrender,Surrender,Kut Klose,,9,,Lovely Thang,
tokyo-sniper,TOKYO SNIPER,RYUSENKEI,,7,,Dancing into Fantasy,
tropic-of-capricorn,TROPIC of CAPRICORN,Momoko Kikuchi,,8,,Alfa Flight,
tasogare,Tasogare,Mai Yamane,,8,,Wave,
teenage-dream,Teenage Dream,Katy Perry,,10,,The One That Got Away,
the-beginning,The Beginning,FIFTY FIFTY,,9,,Tell Me,
the-college-dropout,The College Dropout,Kanye West,,9,,Through the Wire,
the-life-of-pablo,The Life Of Pablo,Kanye West,,8,,Saint Pablo,
