Establishment,Location,Cuisine,Rating,Review
Taqueria El Farolito,"San Francisco, CA",Mexican,9.5,The quintessential Mission burrito. The carnitas are unparalleled in texture and flavor. Open late and always reliable.
State Bird Provisions,"San Francisco, CA",New American,8.8,"Fun dim-sum style cart service for American tapas. The fried quail is a must-try, though it can get overwhelming with the constant cart offerings."
